objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
12352,RH2182, ,RH,Round Hill,Round Hill Park,,,,,,,,0.135136,,,,,,,{FFC72992-B0C0-4225-BFE0-9232BAE62B88},Active Trail,0.00210749284649902
12359,RH6197, ,RH,Round Hill,Round Hill Park,,,,,,,,0.29494448,,,,,,,{AC0999D4-F29D-4353-B940-614AF3016A53},Active Trail,0.00487111239451738
12390,HH15413, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,, , ,<Null>,0.45003527,,,Easy-Moderate,Point to Point,,,{F6FCABE7-368F-46FE-88C8-63CDE48136AF},Active,0.00745117935068305
12426,HH16723,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.06983055,,,Easy,Connector,Dirt,,{F7B539F6-5713-474F-90F0-5E120314E971},Closed,0.00103793483345384
12427,HH16274,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.15164568,,,Easy,Connector,Dirt,,{628DF2A0-907A-4D85-B971-B0A7EE5D48A6},Active,0.00247407452513457
12494,HH4768, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,, , , ,<Null>,0.19367761,,,Moderate,Connector,,,{305A6071-3E04-45D8-9A55-CFAF0FBF2252},Closed,0.00322046041504168
12505,HH25185,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.11419138,,,Easy-Moderate,Connector,Dirt,,{447607CF-4AD6-4852-8989-8F2A0D1D3C2B},Closed,0.00174514141073353
12506,HH25186,Yellow,HH,Harrison Hills,Harrison Hills Park,Yellow,YL,Yellow,,,,http://apps.alleghenycounty.us/GIS/YELLOWbase.png,3.13139951,,,Moderate-Difficult,Point to Point,,,{94659EBC-6C57-41DB-8A8D-4CAD10D17F08},Active,0.0511403838611393
12732,RH2183, ,RH,Round Hill,Round Hill Park,,,,,,,,0.66494047,,,,,,,{B6B236DB-A1CA-4183-85FB-70FD29ECD11C},Closed,0.011599468959031
12734,RH2184, ,RH,Round Hill,Round Hill Park,,,,,,,,0.13605839,,,,,,,{59E579BA-D83C-4FB8-BEEB-2B9B99A5B495},Active Trail,0.00249648030263361
12736,RH2185, ,RH,Round Hill,Round Hill Park,,,,,,,,0.06025169,,,,,,,{DBEFC4F0-B640-4625-99F5-F532D5F3BFA1},Active Trail,0.000994516066812171
12737,RH2186, ,RH,Round Hill,Round Hill Park,,,,,,,,0.1260009,,,,,,,{A3DA60C4-5CBF-4814-9640-4CE31968BB8C},Active Trail,0.00195083283061861
12739,RH2188, ,RH,Round Hill,Round Hill Park,,,,,,,,0.10687278,,,,,,,{197685C6-042A-4D95-9015-B5FCBB72D597},Active Trail,0.00200192046257171
12740,RH2189, ,RH,Round Hill,Round Hill Park,,,,,,,,0.22273194,,,,,,,{FEAFE920-3B70-41DB-976E-AA95E053315E},Closed,0.00354586649367167
12741,RH2190, ,RH,Round Hill,Round Hill Park,,,,,,,,0.13365186,,,,,,,{3AE97CEE-92A5-4B10-B278-4F6F71375DCC},Closed,0.0023961995910158
12743,RH2191, ,RH,Round Hill,Round Hill Park,,,,,,,,0.08336032,,,,,,,{555F8513-6911-4BBC-99AC-13767E45215D},Closed,0.00154056531044022
12744,RH2192, ,RH,Round Hill,Round Hill Park,,,,,,,,0.47023405,,,,,,,{C39E5B5D-BBD7-49F5-99F9-6ABB53CDD2C6},Closed,0.00834028318288888
12746,RH2193, ,RH,Round Hill,Round Hill Park,,,,,,,,0.57695625,,,,,,,{68FA82D6-8C0C-4457-9532-055334C59201},Closed,0.0100440699311807
12747,RH2194, ,RH,Round Hill,Round Hill Park,,,,,,,,0.19794134,,,,,,,{DC12DEA2-AC83-4D6D-B780-B48260371FA1},Closed,0.00331170031631039
12748,RH2196, ,RH,Round Hill,Round Hill Park,,,,,,,,0.46907617,,,,,,,{6989F2E5-9B0F-43F3-B5B1-1B0119F54669},Active Trail,0.00809315124878926
12749,RH2197, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02826211,,,,,,,{D944D5BD-C8E1-41AF-A416-08BA42B91375},Closed,0.000521630393149469
12750,RH2198, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02464838,,,,,,,{E45EB849-35E7-4E02-B271-A9D4F7B02D99},Closed,0.00040218077127056
12751,RH2199, ,RH,Round Hill,Round Hill Park,,,,,,,,0.78257657,,,,,,,{F160BE19-C930-4CE2-B6D3-FF6FE64062B8},Closed,0.0136241505198576
12753,RH2200, ,RH,Round Hill,Round Hill Park,,,,,,,,0.1992804,,,,,,,{B646F328-5C18-4C7A-880B-4E5688F3F23D},Closed,0.00319546272941371
12754,HH42063,Decommissioned Green,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.31878514,,,Moderate,Connector,Dirt,No,{07FA00B6-3FE8-4C15-B2D0-5B0FDEAC3C9C},Closed,0.00570921853298409
12755,RH2201, ,RH,Round Hill,Round Hill Park,,,,,,,,0.05294678,,,,,,,{3D81B715-05AF-4C82-84A8-039C06FF8F79},Closed,0.000908356668662722
12756,RH2202, ,RH,Round Hill,Round Hill Park,,,,,,,,0.00918453,,,,,,,{A78C38C3-2675-4AC8-A986-09522D4B0629},Closed,0.000138937413244179
12757,RH2203, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02749194,,,,,,,{E74086FD-4DAE-411E-BA5A-F10C94DB3673},Closed,0.000438278249386843
12758,RH2204, ,RH,Round Hill,Round Hill Park,,,,,,,,0.03279435,,,,,,,{F9F2EFB0-37EC-4864-8020-2BC987BDF3ED},Closed,0.000551501918511978
12759,RH2205, ,RH,Round Hill,Round Hill Park,,,,,,,,0.11407679,,,,,,,{4F1618FE-44B4-4EA7-96E2-6A29DAB05C95},Closed,0.0017422700132346
12760,RH2206, ,RH,Round Hill,Round Hill Park,,,,,,,,0.01746932,,,,,,,{2625AF7B-C95A-4351-8A57-A52CE8DF345D},Closed,0.00025991961375862
